HSN
996521
996759
996759
996751
8536
8537
3926
3918
8536
8538
7318
8544
998519
996511
998519
48191010
996712
996729
996711

996712
996729
996711

996712
996729
996711

998364
998397
42021250
998311
420212
42021220
14010000
14011000
15171000
16040000
18060000
20160000
22010000
25010010
25050000
25051011
25161200
25200000
25202090
25232990
27100000
27101290
27101980
27.10.19.90
27101990
27101930
27111900
27160000
28061000
28110000
28151190
28470000
28530010
29.03.11.10
29031110
29.03.19.90
29031990
29070000
29141200
30022000
30039000
30039012
31980000
32040000
32.04.19.90
32041990
32041975
32049000
32061900
32.06.19.90
32061990
32064990
32070000
32080000
32081020
32090000
32091090
32130000
32140000
32149090
32150000
32151110
32159090
3215909000
33070000
33071090
33074900
33910000
34010000
34011110
34011911
34020000
34021190
34022090
3402209000
34029099
34029011
34030000
34031900
34039900
34040000
34049010
34060090
35052000
35060000
35.06.99.10
35069910
35069999
35440000
36080000
38029019
38080000
38084000
38130000
38140000
38140020
38240000
38242090
38244010
38.24.90.90
38249090
38249900
38249922
39010000
39.01.10.10
39011010
39.01.90.10
39019010
39019090
39.02.10.00
39021000
3902100
39023000
39.02.30.00
39.03.20.00
39032000
3903200
39033000
39.03.30.00
3903300
39.03.90.10
39039010
39050000
39059100
39060000
39.06.10.10
39061010
39069090
39.07.10.00
39071000
39.07.30.10
39073010
39074000
39.07.99.90
39079990
39.08.10.10
39081010
39.08.90.10
39089010
39.10.00.20
39100020
39100090
39110000
39111090
39140020
39159010
39161090
39.16.10.90
39.16.90.90
39169090
39170000
39.17.10.10
39171010
39171000
39172190
39172990
39172900
39173100
39173300
39180000
39189090
39190000
39191000
39.19.90.20
39199020
39199090
39.19.90.10
39199010
39199021
39199099
39199000
39.19.90.21
39200000
39201099
39.20.10.99
39.20.10.11
39201011
39201012
39202090
39.20.30.10
39203010
39.20.30.90
39203090
39204300
39205111
39209939
39209999
39210000
39211200
39.21.19.90
39211990
39211900
39.21.90.29
39219029
39219099
39219010
39219000
39219026
39229000
39230000
39231090
39232100
39.23.29.10
39232910
39232990
39239090
39240000
39249090
39249020
39250000
39259010
39260000
39261019
39.26.10.19
39261021
39261099
39.26.10.21
39.26.10.11
39261011
39.26.90.21
39269021
39269099
39.26.90.99
39269020
39269010
39.26.90.21`
39269090
39269091
39269000
39269050
3926909090
3926909790
39.26.90.20
39.26.90.10
39.26.90 99
39.26.90.90
39.26.90.00
40020000
40070020
40080000
40081190
40090000
40091100
40093200
40100000
40101390
40103999
40159030
40160000
40169390
40169330
40169300
40169990
40169960
40169970
42.01.00.00
